"","word","freq"
"1","mentalhealthawareness",7645
"2","mental",4616
"3","health",3562
"4","week",2766
"5","mentalhealth",1785
"6","mentalhealthawarenessweek",1715
"7","today",1606
"8","can",1592
"9","help",1552
"10","know",1406
"11","people",1348
"12","depression",1345
"13","talk",1236
"14","awareness",1068
"15","hard",1004
"16","need",988
"17","dont",986
"18","allontheboard",945
"19","just",907
"20","support",897
"21","green",852
"22","illness",838
"23","wearing",816
"24","stress",808
"25","ribbon",793
"26","angry",789
"27","theresamay",777
"28","allowed",772
"29","disgusted",770
"30","sickened",770
"31","vicious",770
"32","cruel",763
"33","one",756
"34","myaprillily",754
"35","will",747
"36","anxiety",739
"37","someone",735
"38","day",714
"39","great",674
"40","say",648
"41","important",642
"42","may",636
"43","nothing",632
"44","time",611
"45","get",610
"46","mentalhealthawarenessweek2018",596
"47","please",535
"48","feel",527
"49","now",523
"50","good",518
"51","kind",514
"52","sometimes",513
"53","thats",508
"54","put",507
"55","words",497
"56","mentalhealthaware",495
"57","realise",488
"58","life",481
"59","take",479
"60","many",467
"61","always",459
"62","make",449
"63","annemarie",446
"64","itexplain",445
"65","love",445
"66","share",444
"67","month",443
"68","like",431
"69","new",425
"70","see",404
"71","going",398
"72","everyone",396
"73","want",394
"74","fighting",392
"75","ive",385
"76","around",384
"77","part",371
"78","start",363
"79","work",363
"80","never",354
"81","first",352
"82","story",331
"83","youre",322
"84","look",319
"85","alone",313
"86","happy",308
"87","experience",302
"88","okay",300
"89","speak",299
"90","talking",297
"91","year",297
"92","check",295
"93","mean",282
"94","much",278
"95","stigma",278
"96","battles",275
"97","find",272
"98","years",269
"99","issues",258
"100","campaign",254
"101","post",254
"102","things",254
"103","mind",253
"104","suicide",250
"105","keep",249
"106","wants",247
"107","thank",243
"108","care",241
"109","really",241
"110","tomorrow",241
"111","physical",238
"112","thing",238
"113","visit",238
"114","problems",233
"115","head",232
"116","friend",231
"117","remember",231
"118","well",231
"119","delighted",228
"120","got",226
"121","lets",226
"122","costs",225
"123","proud",223
"124","read",222
"125","battle",221
"126","something",221
"127","report",220
"128","edenboysbolton",219
"129","blog",217
"130","little",215
"131","mentalhealthmatters",215
"132","picture",213
"133","event",212
"134","tonight",211
"135","wellbeing",211
"136","men",210
"137","friends",209
"138","way",208
"139","sharing",206
"140","reading",205
"141","still",204
"142","also",202
"143","better",202
"144","think",202
"145","listen",199
"146","ill",198
"147","taking",197
"148","mhealthzen",196
"149","problem",196
"150","days",190
"151","mentalhealthweek",190
"152","young",190
"153","thanks",189
"154","tell",188
"155","thercot",186
"156","thought",186
"157","valueofot",186
"158","announce",185
"159","even",185
"160","every",184
"161","getting",184
"162","looking",183
"163","amazing",181
"164","cant",181
"165","students",180
"166","anyone",178
"167","let",177
"168","family",176
"169","video",173
"170","enough",172
"171","times",172
"172","since",171
"173","children",170
"174","suffer",169
"175","world",168
"176","reminder",166
"177","last",164
"178","weve",164
"179","shared",163
"180","heres",162
"181","exercise",161
"182","promoting",161
"183","come",160
"184","wanted",160
"185","self",159
"186","two",159
"187","full",158
"188","person",158
"189","reach",158
"190","ever",157
"191","hope",157
"192","morning",157
"193","loved",156
"194","ones",156
"195","powerful",156
"196","open",154
"197","suffering",154
"198","tips",154
"199","win",154
"200","free",153
"201","sleep",151
"202","follow",149
"203","struggling",149
"204","key",147
"205","others",147
"206","stuff",146
"207","thread",146
"208","made",145
"209","mentalhealthawarenessmonth",144
"210","told",144
"211","ways",142
"212","hear",141
"213","breaking",140
"214","book",139
"215","lives",139
"216","mentalillness",139
"217","live",138
"218","team",138
"219","feeling",137
"220","supporting",137
"221","theres",137
"222","stre",136
"223","dad",135
"224","mhaw18",135
"225","join",134
"226","working",134
"227","end",133
"228","hifunctionorg",133
"229","mum",133
"230","doesnt",132
"231","needed",132
"232","therapy",132
"233","marks",131
"234","ask",130
"235","copy",130
"236","raise",130
"237","sure",129
"238","raising",127
"239","itsoknottobeok",126
"240","research",126
"241","alcohol",124
"242","asking",124
"243","break",124
"244","broken",124
"245","positive",122
"246","attention",121
"247","simple",121
"248","perfect",120
"249","disabled",119
"250","stop",119
"251","23rd",118
"252","endthestigma",118
"253","hotline",118
"254","mindfulness",117
"255","pornography",117
"256","sthlibraries",117
"257","watch",117
"258","conversation",115
"259","staff",115
"260","stories",115
"261","tettix",115
"262","anna",114
"263","available",114
"264","imagine",114
"265","school",114
"266","williamson",114
"267","able2uk",113
"268","best",113
"269","crazy",113
"270","man",113
"271","understand",113
"272","line",112
"273","long",112
"274","infographic",110
"275","supported",110
"276","weeks",110
"277","bed",109
"278","comes",109
"279","might",109
"280","reduces",109
"281","bipolar",108
"282","give",108
