"","word","freq"
"1","ptsd",12169
"2","son",6110
"3","now",3401
"4","battle",3205
"5","lost",3153
"6","usmc",3140
"7","soldierswhisper",3070
"8","bellflower",3057
"9","samuel",3057
"10","handsome",3053
"11","4282018",3050
"12","presence",3050
"13","veterans",1441
"14","help",1289
"15","mentalhealth",1148
"16","love",1139
"17","marylschmidt",1126
"18","story",1050
"19","newrelease",944
"20","99cents",942
"21","veteran",908
"22","depression",891
"23","book",856
"24","rrbc",811
"25","mustread",801
"26","chang-lim",766
"27","eichin",766
"28","suicide",766
"29","people",751
"30","anxiety",736
"31","gripping",695
"32","say",691
"33","get",688
"34","promo",688
"35","know",636
"36","just",618
"37","can",607
"38","trauma",603
"39","marijuana",584
"40","mental",583
"41","please",573
"42","call",569
"43","may",565
"44","vets",562
"45","life",561
"46","dont",560
"47","need",536
"48","cfj",528
"49","want",526
"50","beccas1434",522
"51","heart",490
"52","kindle",476
"53","will",471
"54","suffering",469
"55","asmsg",422
"56","ian1",413
"57","someone",411
"58","one",399
"59","health",396
"60","medical",384
"61","heaven",380
"62","like",344
"63","often",341
"64","took",340
"65","time",339
"66","today",338
"67","mom",336
"68","mentalhealthawarenessweek",332
"69","pain",331
"70","heart-wrenching",324
"71","thank",324
"72","lives",322
"73","take",322
"74","done",319
"75","childhoodcancer",314
"76","study",314
"77","military",312
"78","stress",310
"79","isnt",306
"80","first",303
"81","home",297
"82","things",297
"83","hero",296
"84","tbi",293
"85","memoir",292
"86","broken",285
"87","new",283
"88","americans",282
"89","read",282
"90","great",281
"91","support",281
"92","day",280
"93","rnrkentucky",280
"94","tracymfinch",280
"95","authormichael57",279
"96","familywhy",275
"97","ptsdsomething",274
"98","traumatic",271
"99","many",269
"100","dogs",264
"101","novel",261
"102","sov",259
"103","suspense",259
"104","sot",258
"105","hifunctionorg",255
"106","bookpromo",254
"107","lovelock",254
"108","romantic",254
"109","cannabis",247
"110","bookplugs",246
"111","research",246
"112","healingmb",241
"113","mentalhealthawarenessmonth",241
"114","endthestigma",240
"115","world",239
"116","makemethinkin5words",238
"117","tavt",236
"118","5yo",233
"119","bookboost",232
"120","end",229
"121","garrison",228
"122","hightimesmag",225
"123","week",225
"124","lot",223
"125","illness",220
"126","poppysmission",218
"127","recovery",216
"128","weve",214
"129","courage",212
"130","mentalhealthawareness",212
"131","mentalillness",211
"132","post",211
"133","warriors",209
"134","positive",208
"135","tears",204
"136","talk",202
"137","marine",201
"138","maps",200
"139","usmcwwr",200
"140","abuse",199
"141","hope",199
"142","america",198
"143","center",198
"144","save",197
"145","service",197
"146","via",196
"147","bipolar",194
"148","welcome",194
"149","awe",193
"150","fills",192
"151","heartstrings",192
"152","asking",191
"153","alone",190
"154","share",189
"155","disorder",187
"156","transition",187
"157","ptsdawareness",185
"158","symptoms",184
"159","healing",183
"160","live",182
"161","thought",182
"162","yall",181
"163","demand",180
"164","hotline",180
"165","wounds",180
"166","detjoelocus",179
"167","rooting",179
"168","bonniemurphy",178
"169","theyre",177
"170","work",177
"171","last",176
"172","non",176
"173","brothers",175
"174","eichinchanglim",175
"175","mdma",175
"176","cr4u",173
"177","needs",173
"178","georgia",170
"179","politicians",169
"180","women",167
