"","word","freq"
"1","anxiety",13056
"2","depression",3627
"3","mentalhealth",2697
"4","can",2179
"5","stress",1716
"6","mental",1328
"7","health",1257
"8","help",1222
"9","mentalhealthawarenessweek",1051
"10","time",849
"11","life",843
"12","people",835
"13","feel",789
"14","today",728
"15","just",726
"16","dont",720
"17","get",675
"18","like",662
"19","new",655
"20","anxious",619
"21","day",602
"22","fear",598
"23","ptsd",560
"24","one",523
"25","know",520
"26","mentalhealthawareness",514
"27","cbd",494
"28","will",490
"29","may",474
"30","mentalhealthawarenessmonth",452
"31","week",451
"32","mentalillness",444
"33","mind",442
"34","now",436
"35","need",435
"36","blog",431
"37","anyone",416
"38","awareness",410
"39","feeling",403
"40","make",398
"41","much",393
"42","please",389
"43","work",385
"44","tips",382
"45","symptoms",373
"46","children",371
"47","pain",365
"48","someone",363
"49","great",359
"50","panic",354
"51","take",352
"52","ways",352
"53","month",351
"54","sleep",351
"55","way",347
"56","via",346
"57","things",342
"58","sicknotweak",341
"59","really",339
"60","love",335
"61","mindfulness",334
"62","learn",333
"63","many",331
"64","days",329
"65","social",328
"66","youre",316
"67","share",314
"68","talk",314
"69","good",313
"70","cant",307
"71","ocd",306
"72","bipolar",302
"73","keeptalkingmh",301
"74","want",301
"75","support",296
"76","best",294
"77","mentalhealthmatters",293
"78","free",292
"79","post",292
"80","check",291
"81","going",290
"82","read",289
"83","anxietyproblems",285
"84","every",285
"85","use",282
"86","illness",275
"87","ive",275
"88","become",274
"89","calm",274
"90","back",271
"91","find",269
"92","struggle",266
"93","meditation",264
"94","video",262
"95","brain",259
"96","try",258
"97","worry",256
"98","taking",249
"99","think",248
"100","therapy",247
"101","debilitating",246
"102","suffer",245
"103","story",243
"104","bpd",238
"105","tired",234
"106","live",230
"107","better",228
"108","always",227
"109","book",227
"110","endthestigma",227
"111","hifunctionorg",227
"112","manage",227
"113","break",223
"114","without",223
"115","hard",219
"116","kids",219
"117","stigma",219
"118","issues",217
"119","suicide",217
"120","talking",215
"121","stop",214
"122","cause",212
"123","insomnia",210
"124","let",210
"125","ever",208
"126","years",208
"127","thing",207
"128","open",206
"129","thoughts",203
"130","body",202
"131","podcast",200
"132","teens",197
"133","never",196
"134","suffering",195
"135","hope",192
"136","reduce",192
"137","experience",190
"138","overwhelming",189
"139","alone",188
"140","cannabis",187
"141","happy",187
"142","heal",187
"143","lot",187
"144","recovery",187
"145","also",185
"146","mean",184
"147","stressed",184
"148","disorder",183
"149","living",183
"150","first",182
"151","moodtriggers",182
"152","see",182
"153","thismorning",182
"154","overcome",179
"155","attack",177
"156","child",177
"157","often",177
"158","iamjeffemmerson",176
"159","soon",176
"160","well",176
"161","sweetdreaming96",175
"162","give",174
"163","getting",172
"164","nothing",172
"165","year",172
"166","medication",171
"167","struggling",171
"168","students",171
"169","care",168
"170","self",168
"171","little",167
"172","sometimes",167
"173","common",166
"174","doesnt",166
"175","problems",163
"176","say",162
"177","look",160
"178","something",158
"179","everyone",157
"180","parenting",157
"181","control",156
"182","empty",156
"183","even",156
"184","knows",156
"185","last",156
"186","understand",156
"187","marijuana",155
"188","seeing",152
"189","daily",151
"190","sharing",150
"191","wounds",149
"192","autism",148
"193","dizzy",148
"194","got",147
"195","makes",147
"196","dealing",146
"197","emotions",146
"198","nobody",146
"199","passing",146
"200","helped",145
"201","still",144
"202","helping",143
"203","heres",143
"204","motivation",143
"205","nayvethvizcaya",143
"206","disorders",142
"207","feelings",142
"208","looking",141
"209","article",140
"210","important",140
"211","deal",139
"212","start",139
"213","suicideprevention",139
"214","family",138
"215","long",138
"216","using",138
"217","available",137
"218","bullying",137
"219","two",137
"220","world",137
"221","home",136
"222","join",136
"223","change",134
"224","ease",134
"225","right",134
"226","part",133
"227","relax",133
"228","anxietywithin",132
"229","come",132
"230","focus",132
"231","vixxyrose",132
"232","learning",131
"233","watch",130
"234","ask",129
"235","healingmb",128
"236","next",128
"237","cope",127
"238","full",127
"239","latest",127
"240","simple",127
"241","thank",127
"242","benefits",126
"243","contact",126
"244","listen",126
"245","mentalhealthmonth",126
"246","tell",126
"247","words",126
"248","believe",125
"249","struggles",125
"250","thought",125
"251","helps",124
"252","lets",124
"253","positive",124
"254","call",123
"255","school",123
"256","attacks",122
"257","cbdoil",122
"258","thanks",122
"259","monday",121
"260","person",120
"261","times",120
"262","everything",119
"263","relief",119
"264","young",119
"265","conditions",118
"266","feels",118
"267","oil",118
"268","yoga",118
"269","former",117
"270","made",117
"271","selfcare",117
"272","addiction",116
"273","around",116
"274","possible",115
"275","end",114
"276","energy",114
"277","psychology",114
"278","real",114
"279","sunday",114
"280","wellness",114
"281","word",114
"282","breathe",113
"283","exercise",113
"284","morning",113
"285","heart",112
"286","online",112
"287","treatment",112
"288","london",111
"289","matters",111
"290","among",110
"291","music",110
"292","spirit",110
"293","episode",109
"294","keep",109
"295","friends",107
"296","happiness",107
"297","healthy",107
"298","others",107
"299","quote",107
"300","thc",107
"301","tomorrow",107
"302","working",107
"303","wrong",107
"304","joy",106
"305","negative",106
"306","trying",106
"307","group",105
"308","illnesses",105
"309","light",105
"310","physical",105
"311","sanresists",105
"312","amazing",104
"313","dlhampton",104
"314","making",104
"315","okay",104
"316","weed",104
"317","adhd",103
"318","bad",103
"319","depressed",103
"320","thats",103
"321","another",102
"322","thinking",102
"323","huge",101
"324","medical",101
"325","hurt",100
"326","mood",99
"327","theocdfight",99
"328","away",98
"329","breathing",98
"330","challenges",98
"331","isnt",98
"332","might",98
"333","touch",98
"334","abuse",97
"335","face",97
"336","link",97
"337","must",97
"338","signs",97
"339","truth",97
"340","enough",96
"341","introverts",96
"342","realjudgelynn",96
"343","wonder",96
"344","including",95
"345","relationship",95
"346","advice",94
"347","dear",94
"348","journey",94
"349","parents",94
"350","top",94
"351","wellbeing",94
"352","coping",93
"353","mhaw18",93
"354","retweet",93
"355","behind",92
"356","hemp",92
"357","safe",91
"358","show",91
"359","trauma",91
"360","opportunity",90
"361","overthinking",90
"362","rainbownuts",90
"363","remember",90
"364","study",90
"365","counsellor",89
"366","ill",89
"367","past",89
"368","women",89
"369","follow",88
"370","head",88
"371","kind",88
"372","research",88
"373","dbt",87
"374","practice",87
"375","adolescents",86
"376","beyondyourpast",86
"377","infjphd",86
"378","lie",86
"379","mindbodygreen",86
"380","night",86
"381","safety",86
"382","system",86
"383","future",85
"384","managing",85
"385","powerful",85
"386","safetyphd",85
"387","thief",85
"388","treat",85
"389","doc",84
"390","false",84
"391","far",84
"392","suffers",84
"393","yet",84
"394","011",83
"395","234",83
"396","8am-8pm",83
"397","anxietyuk",83
"398","drug",83
"399","due",83
"400","improve",83
"401","media",83
"402","reminder",83
"403","said",83
"404","4837",82
"405","allentien",82
"406","difficult",82
"407","natural",82
"408","reasons",82
"409","spread",81
"410","youtube",81
"411","fears",80
"412","interview",80
"413","loved",80
"414","needs",80
"415","strategies",80
"416","tonight",80
"417","bekalombardo",79
"418","doom",79
"419","healing",79
"420","high",79
"421","mentalhealthawarnessweek",79
"422","nature",79
"423","offer",79
"424","overcoming",79
"425","prophet",79
"426","put",79
"427","ago",78
"428","appropriating",78
"429","called",78
"430","else",78
"431","empathy",78
"432","hijacking",78
"433","madness",78
"434","problem",78
"435","reason",78
"436","charity",77
"437","livecbdhealthy",77
"438","reiki",77
"439","came",76
"440","different",76
"441","easy",76
"442","less",76
"443","mindful",76
"444","big",75
"445","impact",75
"446","stay",75
"447","todays",75
"448","already",74
"449","anxie",74
"450","aristotle",74
"451","friend",74
"452","key",74
"453","power",74
"454","since",74
"455","whether",74
"456","beautiful",73
"457","emotional",73
"458","everyday",73
"459","hours",73
"460","meds",73
"461","news",73
"462","seven",73
"463","done",72
"464","fact",72
"465","followed",72
"466","namicommunicate",72
"467","related",72
"468","sad",72
"469","visit",72
"470","africa",71
"471","anxi",71
"472","art",71
"473","battle",71
"474","drugs",71
"475","effective",71
"476","exams",71
"477","experiences",71
"478","linked",71
"479","mebpd",71
"480","minutes",71
"481","poem",71
"482","especially",70
"483","excited",70
"484","men",70
"485","months",70
"486","parent",70
"487","relieve",70
"488","south",70
"489","along",69
"490","fight",69
"491","mentalhealthweek",69
"492","normal",69
"493","seem",69
"494","shyness",69
"495","tes",69
"496","choric",68
"497","importance",68
"498","able",67
"499","app",67
"500","bkoh4062",67
"501","didnt",67
"502","forget",67
"503","helpful",67
"504","panicattacks",67
"505","relationships",67
"506","begins",66
"507","dementia",66
"508","memory",66
"509","misery",66
"510","overwhelmed",66
"511","age",65
"512","finding",65
"513","secret",65
"514","sense",65
"515","spiritual",65
