"","word","freq"
"1","depression",11389
"2","anxiety",2903
"3","know",2444
"4","mentalhealth",2425
"5","can",1877
"6","day",1848
"7","last",1661
"8","wont",1541
"9","takes",1492
"10","probably",1481
"11","killing",1468
"12","virus",1463
"13","nomondesky",1460
"14","bite",1458
"15","mental",1431
"16","health",1351
"17","mentalhealthawarenessweek",1137
"18","help",1131
"19","people",971
"20","just",825
"21","someone",811
"22","life",673
"23","new",650
"24","dont",614
"25","stress",598
"26","may",576
"27","suicide",558
"28","mentalhealthawareness",535
"29","symptoms",521
"30","like",517
"31","will",503
"32","one",476
"33","feel",459
"34","ptsd",444
"35","smile",436
"36","helped",430
"37","bipolar",428
"38","get",425
"39","need",417
"40","now",415
"41","illness",413
"42","todays",407
"43","today",401
"44","sadness",400
"45","time",392
"46","talk",389
"47","mentalillness",387
"48","consider",365
"49","comic",362
"50","goal",362
"51","pledging",361
"52","via",358
"53","week",355
"54","4amshower",349
"55","youre",337
"56","support",332
"57","awareness",329
"58","make",328
"59","take",325
"60","much",316
"61","see",313
"62","study",311
"63","among",309
"64","doesnt",303
"65","please",299
"66","mentalhealthawarenessmonth",298
"67","think",298
"68","many",297
"69","want",293
"70","good",292
"71","rethinkdep",292
"72","chemsex",288
"73","let",288
"74","sicknotweak",288
"75","days",287
"76","also",283
"77","healingmb",283
"78","depressed",280
"79","suffer",277
"80","visit",267
"81","brain",264
"82","blog",259
"83","feeling",257
"84","give",253
"85","love",253
"86","live",249
"87","treatment",245
"88","physical",243
"89","children",242
"90","sad",241
"91","find",239
"92","research",239
"93","say",238
"94","sleep",238
"95","exercise",237
"96","share",236
"97","ive",235
"98","happy",232
"99","every",226
"100","mhealthzen",224
"101","real",220
"102","care",218
"103","something",218
"104","bpd",217
"105","common",217
"106","endthestigma",212
"107","story",212
"108","wants",211
"109","mentalhealthmatters",210
"110","needed",210
"111","really",210
"112","things",210
"113","alone",207
"114","living",207
"115","work",206
"116","never",205
"117","adults",200
"118","cancer",200
"119","video",198
"120","men",197
"121","mood",196
"122","cant",195
"123","hope",195
"124","lets",194
"125","mind",194
"126","problems",192
"127","sometimes",192
"128","variety",192
"129","daily",191
"130","going",191
"131","way",191
"132","post",190
"133","hard",189
"134","struggle",187
"135","honest",186
"136","read",186
"137","call",185
"138","experience",185
"139","affect",184
"140","always",184
"141","worry",183
"142","great",182
"143","major",182
"144","learn",180
"145","moodtriggers",178
"146","pain",178
"147","years",177
"148","self",176
"149","best",175
"150","risk",175
"151","back",174
"152","check",174
"153","struggling",172
"154","ich",171
"155","family",170
"156","therapy",170
"157","try",169
"158","patients",168
"159","well",168
"160","words",167
"161","person",165
"162","culture",164
"163","use",164
"164","conditions",163
"165","feelings",163
"166","colors",162
"167","keeptalkingmh",162
"168","news",161
"169","even",160
"170","world",160
"171","cause",158
